,Tracking Number,Description/Basis for Appeal
11,EPA-R10-2014-008483,"Please provide any and all documents related to 3801 E. Marginal Way, Seattle, WA (Parcel No. 7666700350 and 7666700395).  

For the purpose of aiding in the search for records, a non-exhaustive list of entities that may have been associated with the property includes Pacific Coast Cement, Permanente Cement Company, Superior Portland Cement, Lone Star Industries, Inc., and Ash Grove Cement Company.

Please exclude the following documents in EPA's response to this request:  (1) the Section 104(e) response of Ash Grove Cement Company; (2) the RI/FS documents prepared for the Lower Duwamish Waterway Superfund Site; (3) any documents referring to the above referenced entities relating to other properties not identified above; and (4) any other documents currently available on the EPA?s Lower Duwamish Waterway Superfund Site website or the Department of Ecology Toxics Cleanup Program Lower Duwamish Waterway website.

After you perform an initial search, please contact me to discuss the results and the estimated cost to fulfill the request."
12,EPA-R4-2013-003137,"We are researching mine sites that will require long-term water treatment -- particularly those that will require treatment for 100 years or into \perpetuity\"" to meet water quality standards.  "
17,EPA-R2-2015-003445,"I am requesting any records you have for the past 10 years on children becoming ill or death as a result to a reaction to pet products (only relating to a shampoo, spray like a grooming type product) containing either pesticides or insecticides as an inert or active ingredient."
18,EPA-HQ-2013-001000,"In accordance with the Freedom of Information Act, 5 U.S.C. § 552, I am writing to request information in the possession or control of the United States Environmental Protection Agency (?USEPA?) which concerns: (a) the former Hoescht Celanese site located at 1551 Sha Lane, Spartanburg, South Carolina 29307, in Spartanburg County (the ?Site?), and (b) the Cannon?s Campground area in Spartanburg, South Carolina 29307 (the ?Campground?). Specifically, I am requesting the following: 

1. Any documents related to environmental conditions at the Site or the Campground; 
2. Human health or ecological assessments or risk assessments of the Site or the Campground; 
3. Soil, groundwater, surface water, or soil vapor sampling results from the Site or the Campground; 
4. Internal USEPA emails and communications concerning the Site or concerning the Campground; 
5. Emails, letters, or other correspondence to or from the USEPA or its representatives and any representative of the South Carolina Department of Health and Environmental Control concerning the Site or the Campground; 
6. Emails, letters, or other correspondence to or from the USEPA or its representatives and the Center for Disease Control or the Agency for Toxic Substances and Disease Registry (CDC/ATSDR) concerning the Site or the Campground; 
7. Emails, letters, or other correspondence to or from the USEPA or its representatives and any city or county governments concerning the Site or the Campground; 
8. emails, letters, or other correspondence to or from the USEPA or its representatives and any environmental groups, non-profit organizations, or interested individuals concerning the Site or the Campground; 
9. All FOIA requests by anyone concerning the Site or Campground, including, but not limited to, Richard A. Harpootlian, P.A., Louthian Law Firm P.A., Grant & Eisenhofer, P.A. and Poliakoff & Associates, P.A."
19,EPA-R5-2013-003438,"This is a request for records believed to be in the possession of EPA Region 5 and is filed in accordance to the prerogatives granted to the public by the Freedom Of Information Act, 5 U.S.C. 552. Since this request involves documents related to compliance with the Clean Water Act, 33 U.S.C. 1251, any provisions in that Act relating to the public availability of certain records may also apply. 
	
	The requester, Brian Sikma, is seeking the following information:

	Digital copies of the current, and previous 2, NPDES permits for the below listed wastewater treatment facility. If the permit is currently expired then a digital copy of the expired permit and any permit(s) that preceded it - if any - would fulfill this request. 

Mailing Address:
	Bad River Band Reservation	
	1 Maple St. 
	Odanah, WI 54861

Operating Address:
	Bad River Band Reservation	
	PO Box 39
	Odanah, WI 54861
	
Information System ID numbers:
	WIR000052282 or 16091094  

Further EPA information available by going to this webpage: 	http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110005545561"
20,EPA-R10-2014-009804,"Hello,

I would like to request information pertaining to a property located at 1287 120th Avenue Northeast in Bellevue, Washington 98005.  To my knowledge, this facility currently operates as Concordia Beverage Systems, a company which specializes in the assembly of commercial-grade coffee and espresso machines.

I would be interested in obtaining any records related to underground or aboveground storage tanks, RCRA waste generator status and/or violations, any notices of land, air or water contamination associated with the site, site remediation program enrollment, or spill notices at the aforementioned address.

Please let me know if you require additional information.

Thank you for your assistance with this request!

Cristi Williams, BBJ Group LLC
(312) 644-8556"
21,EPA-HQ-2013-010023,"Dear Sir or Madam: This is a request pursuant to the Freedom of Information Act (?FOIA?), 5 U.S.C. § 552, et seq. We seek copies of any and all documents, including but not limited to correspondence, internal memoranda, reports, notes, records or other materials in the Environmental Protection Agency?s (?EPA?s?) pesticide registration files for the following Dicamba pesticide product: 69361-41 (Repar Corporation - Dicamba Technical Herbicide). 

We would appreciate it if EPA would give priority to the following documents and provide them to us under separate cover as soon as they have cleared EPA?s Confidential Business Information review: 1. any submission/application correspondence with EPA; 2. any EPA Form 8570-1 (Application for Pesticide ? Section 1); 3. any EPA Form 8579-34 (Certification with Respect to Citation of Data); 4. any EPA Form 8570-35 (Data Matrix); and 5. any EPA Form 8570-27 (Formulator?s Exemption Statement). This request does not apply to any documents or portions thereof contained in these files that are Confidential Business Information. Further, this FOIA request does not seek test data, manufacturing processes, or the confidential statement of formula for this or any other pesticide product. We would be pleased to pay reasonable costs related to duplicating and shipping the requested information. Please contact me should it appear that the costs will exceed $100. 

If I may be of any assistance with this matter, please do not hesitate to contact me at (703) 242-2506. Thank you in advance for your assistance. 

Sincerely, Markus Brombacher INREX, LLC 2326 Trott Avenue Vienna, VA 22181"
22,DOC-NOAA-2013-000297,"Copies held on NOAA resources, in NOAA?s possession or otherwise accessible to NOAA, of the underlying data and computer program code used in Murphy, D. M., S. Solomon, R. W. Portmann, K. H. Rosenlof, P. M. Forster, and T. Wong (2009), An observationally based energy balance for the Earth since 1950, J. Geophys. Res., 114, D17107, doi:10.1029/2009JD012105.
We request a rolling production, with responsive records being processed and produced independent of any others, such that no processed record is withheld for some period on the basis that other records must still be processed.

This request contemplates copies of documents in electronic format if you possess them as such, otherwise photocopies are acceptable; as the records we seek are data and computer program code, all should be held electronically.

We do not seek duplicates.

This contemplates searching official email addresses, private accounts used for work-related purposes, and other on-line storage like BOX or Google Docs/Drive used for work-related purposes by the cited NOAA employees."
23,EPA-HQ-2015-002187,"Requesting a copy of the Statement of Work, the reports produced and the presentations provided to the EPA by Eastern Research Group, Inc., Lexington, Mass., under contract EPW07067, specifically the portion of
the contract relating to \Climate Change Indicators in the United States Report.\"""""
24,EPA-HQ-2014-007921,"To Whom It May Concern:



Through the Freedom of Information Act, I am requesting the following for all 10 EPA Regions.



A CERCLA Lien Information listing in Excel, Access, Pdf or Word format.



Information I would like is:



FACILITY NAME     

ACTION        

START DATE          

COMPLETE DATE  

NOTICE DATE        

ENFORCE DATE    

REARDON DATE    

EPA ID NUMBER    

FACILITY ADDRESS         

FACILITY CITY       

FACILITY STATE    

FACILITY ZIP         

STATUTES



I guarantee payment of cost up to $250.00.  If the cost will exceed this amount, please let me know.



Thank you for your assistance.

Christian Ampuero| ERS Database
P: (714) 669-8096 EXT: 1110  |  F: (714) 669-8025
Cell: (714) 669-8025 
christiana@reccheck.com  I  www.reccheck.com"
25,EPA-R7-2014-001619,"Pursuant to the Freedom of Information Act,  Roth Environmental Consultants, Inc. is requesting written information or copies of records pertaining to any reported environmental problems of a hazardous or toxic nature that may have occurred at, or in the vicinity of, the property referenced below.

Office/Warehouse
1544 Howell Street
North Kansas City, Missouri 64116

File Number 075-P1-2013.001

Our request includes, but is not limited to, information pertaining to the National Priority List (NPL), Comprehensive Environmental Response, Compensation and Liability Information System (CERCLIS), Hazardous Waste Date Management System (HWDMS), and any reported problems in water, air and hazardous spills.

This request does not include information regarding storage tanks or PCBs.

If you have any questions, please give me a call.  Thank you for your assistance."
26,EPA-R2-2014-008508,"Please accept this letter as a formal request pursuant to the United States Freedom of Information Act (?FOIA?) for copies any and all of the following records in your possession related to the Hudson River dredging project undertaken by General Electric Co. and/or its contractors or subcontractors in Upstate New York.

	1)	Any and all Health and Safety Plans or Remedial Action Health and Safety Plans implemented by General Electric or any of its contractors or subcontractors for Phase II of the Hudson River dredging project.
	2)	Any amendments to any Health and Safety Plan or Remedial Action Health and Safety Plan made on or after November 17, 2009 with respect to the Hudson River dredging project.

	If for any reason any portion of my request is denied, please inform me of the reasons for the denial in writing and provide the name, address and email address of the person or body to whom an appeal should be directed.
	
	If there is a charge associated with the furnishing of any of these documents, please forward a bill to my attention and a check will be remitted. If you have any questions regarding this request, please do not hesitate to contact me at the number listed below."
28,?A similar situation obtains at pits, municipal and industrial).?
34,DOC-NOAA-2011-000891,The description of this request is under Agency review.
35,DOC-NOAA-2014-000905,"Under the Freedom of Information Act (FOIA), I would like to request a copy of the winning grant application from a city or county for the most recent award cycle of the grant programs listed below. If a successful city or county application is not available, please provide us with a copy of a winning grant application from a state, non-profit, or other type of agency that has met or exceeded the standards and expectations of the program:


Program Name:	Coastal Resilience Networks Program 
Office:   	DOC/NOAA
CFDA #:	11.473
FON#:	NOAA-NOS-CSC-2014-2003982
Grantee Names:   	None
	
I am affiliated with a private business and am seeking information for use in the company?s business.  I am willing to pay fees for this request up to a maximum of $100.  If you estimate that the fees will exceed this limit, please inform me before completing this request."
36,EPA-R2-2013-004523,"To Whom It May Concern,

I am writing to request a review of all information pertaining to the five (5) sites identified below:

-Former Riegel Products Corporation Mill on Block 112 Lot 16, Block 113 Lots 26 & 31.01, Block 114 Lots 1 & 3 and Block 115 Lot 1 in Pohatcong Township and Block 18 Lot 1, Block 19 Lot 12 and Block 19.01 Lot 12.01 in Holland Township. The property can be identified with ISRA No. 87185 or EPA ID No. NJD073616096. 

-500 Milford-Frenchtown Road, Milford, NJ 08848. The site consists of an abandoned, inactive landfill on Block 17.01 Lot 1 in Alexandria Township.

-The former Curtis Paper Mill located at 404 Frenchtown Road, Milford, NJ 08848. The site consists of Block 13 Lot 5.01 and Block 19 Lot 51 in the Borough of Milford and Block 17.01 Lot 1.01 in Alexandria Township. The subject property may be identified with EPA ID# NJD057143984 or 20010036. 

-Property located at Cyphers Road (a.k.a. 10 Mill Road), Holland Township, NJ. The site consists of the former Hughesville Mill on Block 2 Lot 1.02 in Holland Township. The subject property can be identified with ISRA Case No. 91206. 

-Property located at 1 Route 519, Holland Township, NJ. The site consists of the former Warren Glen Mill on Block 118 Lot 15 and Block 105 Lot 1 in Pohatcong Township and Block 1 Lots 1.01 & 1.02 and Block 2 Lot 1.01 in Holland Township. The subject property can be identified with ISRA No. 91205. 

Attached please find site location maps for each property. Should you have any questions please feel free to call  me or Kim Hosea at 845-781-4844 x 309.

Thank you.

Kevin"
37,EPA-HQ-2015-003590,"I am requesting a copy of the Pesticide Amendment Application and corresponding Acceptance Letter related to the stamped accepted label dated May 20, 2005 for the product, Tim-bor Industrial Wood Preservative (EPA Registration Number 1624-39).   A copy of the stamped accepted label is attached for reference"
38,EPA-R9-2014-002709,"We would like to request any information your office has regarding any environmental documents, underground storage tanks (USTs) or hazardous materials for the property listed below.  If any records are located, we would like to obtain copies or schedule a file review.  If no records are available, please contact me to confirm. Thank you for your assistance. 

11009 Pioneer Blvd., Norwalk, CA 90650"
39,EPA-R4-2014-005542,"James A. Taylor. et al. vs. Afton Pumps. et at.
Broward County Case No: 13-08335
 


Our firm is involved in the above-referenced case and we are requesting copies of all
asbestos abatement records pertaining to the following facilities:
? Georgia Pacific Container Plant in LaGrange, Georgia.
? Proctor & Gamble in Albany, Georgia
? University of Georgia in Athens, Georgia
? Baldwin County Hospital in Milledgeville, Georgia
? Merck Plant in Albany, Georgia
Please see the attached schedule '\A\"" for detail list of the record request. Please forward"
41,EPA-R2-2014-002605,"Request to review documents maintained by the CAA, CWA, TSCA, RCRA, SUPR, and FIFRA departments of the USEPA for:
399 Nostrand Avenue, Brooklyn, NY 11216, an apartment building

13 Meadow Street, Brooklyn, NY 11206, a warehouse

8797 25th Avenue, Brooklyn, NY 11214, an apartment building"
42,EPA-R5-2013-008323,"I would like to request a dated copy of the Notice of Violation: EPA-CAA-2000-HQ-2004 for Cinergy Corp, PSI Energy, Inc., and Cincinnati Gas and Electric Co. as well as the resulting Consent decree between EPA and the defendant corporations.

Thanks!
j."
43,EPA-R2-2015-002727,"I am submitting a FOIL request for 55 Chicago Street, Buffalo, New York. The information we are seeking is the existence of any files or records concerning any environmental violations, legal actions, permits, spills, hazardous or solid waste disposal/storage, etc. relating to the above referenced property. The requested information will be used in the preparation of an environmental site assessment of the property. Your prompt attention to this matter is greatly appreciated. Please see letter attached."
44,EPA-R3-2014-002831,"This correspondence is being submitted as a request to review files regarding environmental concerns in connection with the following property that may be in possession of the USEPA. 

Property information: 220 Jacksonville Road, Hatboro Borough, Montgomery County,  Pennsylvania 19040
Facility Names - C&L Rivet Co, Inc. & Raymark O&M

Environmental concerns include, but are not limited, to the following:

Air quality, Asbestos, Contaminated sites, Hazardous waste, Lead-based paint, Radiation Protection, Solid Waste, Storage Tanks (e.g., underground storage tanks (?USTs?) and aboveground storage tanks (?ASTs?)), Water Quality (e.g., one-site septic systems and wastewater treatment systems), and Water Supply (e.g., potable water wells, irrigation wells and industrial supply wells)."
45,EPA-R6-2013-008063,"I would like to request the Notice of Violation issued by the EPA for NSR violations under the Clean Air Act, which resulted in a Consent Decree between the parties for:

- Rhodia, Inc: Consent Decree Entered: 4/26/2007; Violations for the Baton Rouge, LA location

- Conoco Phillips Global Refinery: Consent Decree Entered: 1/27/2005;  violations for the Belle Chasse, LA location


I DO NOT NEED PAPER COPIES! Electronic versions would be perfect and much appreciated.
J."
46,DOC-NOAA-2013-000661,"**Please see attached

The first Document is a letter Detailing the Request

The second is a copy of the NCR Report - We are unaware of the specific information that NOAA can provide, however the NOAA are on the report and according to NCR should automatically take some action even if just to document the report.  We are looking for everything that is associated with this report - the NCR is modified to show the NOAA disclosure by NCR."
47,DOC-NOAA-2014-000552,"A 73-foot female blue whale was struck and killed by a survey vessel, the Pacific Star, in October 2009 off Fort Bragg California. The Pacific Star was under contract to Fugro Pelagos.
I am requesting under FOIA all files in NOAA's possession related to this case. I am interested in any penalties and any changes in NOAA policies that came about as a result of this incident. I request a fee waiver. This request is being made soley to inform the public through the general circulation newspaper I represent, the Fort Bragg Advocate News."
48,NARA-NGC-2014-000211,I respectfully request a listing of agencies that do not comply with records management obligations and which fail to accession permanent records to NARA.
49,EPA-R6-2014-009376,"We would like to request any information your office has regarding any environmental documents, underground storage tanks (USTs) or hazardous materials for the property listed below.  If any records are located, we would like to obtain copies or schedule a file review.  If no records are available, please contact me to confirm. Thank you for your assistance. 

1002 Dallas Drive, Denton TX 76205"
50,EPA-R9-2014-007922,"Hello 

Through an FOIA Request, I am requesting the following for all of Region 9 in Excel format. 

A listing of Leaking Underground Storage Tank Site locations on Indian Land. 

Information I would like is: 

Site Id Loc Tribe Locname Locstr City State Zip Locphone Latitude Longitude Confrimed Release Date Cleanup Completed Date Cleanupinit Date 

Thank you

Christian Ampuero
christiana@reccheck.com
714-669-8096 EXT 1110"
51,EPA-R5-2014-000982,"All available federal environmental documents (if any) on Lake Welding Supply Company, 740 South Waverly Road, Holland, MI 49423 in Ottawa County.  A separate Michigan level FOIA has been submitted as well.  Property Tax ID is: 70-16-33-477-022.  If fee is likely to exceed $200.00, please contact for further direction."
52,EPA-HQ-2013-004447,"Please note that this request is for the EPA's OFFICE OF INSPECTOR GENERAL
+++++++++++
1)	Copies of all documents and materials known variously over time as case summaries, closing status reports and/or case closing summaries produced or received by the Environmental Protection Agency?s (EPA) Office of Inspector General (OIG) related to grants to Indian tribes.
This request for these materials should be understood to capture documents including, but not limited to: opening, closing or interim summaries/status reports; memoranda; official and unofficial policy statements; notes; interview transcripts or excerpts; correspondence; and meeting minutes or summaries. 
The time frame for responsive summaries/status reports should be understood as Jan. 1, 2003 to the present.
2)	In addition, as discussed today by phone, I am requesting a list of all such summaries/status reports so that -- in our shared interest that this request be limited to materials that truly interest me -- I can attempt to limit the number of materials that the EPA OIG?s FOIA office must gather."
53,EPA-HQ-2015-001675,I request a copy of the record by which Willowood Clomazone LLC (EPA Company Number 87813 or 87855) withdrew its application for registration of Willowood Clomazone Technical.  I believe the application for registration was filed in or about 2010.  Thank you.
54,EPA-HQ-2013-005362,"April 11, 2013

Dear FOI Officer: 

Pursuant to the federal Freedom of Information Act, 5 U.S.C. § 552, I request access to and copies of: 

The EPA's FOIA request logs from January 1, 2013 to present. I would like these documents submitted to me electronically, if possible.

As a representative of the news media I am only required to pay for the direct cost of duplication after the first 100 pages. This information is being sought for dissemination to the general public. 

I agree to pay reasonable duplication fees for the processing of this request up to $50. If the fees will exceed that amount, please contact me at (202) 370-7962.

As required by FOIA, segregable portions of otherwise exempt material must be released. If my request is denied in whole or part, I ask that you justify all deletions by reference to specific exemptions of FOIA. 

As I am making this request as a journalist and this information is time-sensitive, I would appreciate your communicating with me by e-mail, rather than by telephone or mail, if you have questions regarding this request. 

I look forward to your reply within 20 business days, as the statute requires. For questions regarding the content of this FOIA request, please contact (202) 370-7962 or urbina@nytimes.com.

Thank you for your assistance. 

Sincerely, 

Ian Urbina
The New York Times 
6010 Broad Branch Rd. 
NW Washington DC 20015
urbina@nytimes.com
(202) 370-7962"
55,EPA-R9-2013-008996,"Ms. Ivry Johnson, FOIA Officer
US EPA Region 9
75 Hawthorne Street
San Francisco, CA  94105
415-947-4251

Re: Freedom of Information Act Request
Clow Valve Company, Corona, CA 92879

Dear Ms. Johnson:
Pursuant to the Freedom of Information Act, Roux Associates, Inc. is requesting any documents dated since January 2004 or later, that the US EPA may have on file concerning current or historical environmental permits, conditions, inspections, or violations, located at the following address in EPA Region 9:

Clow Valve Company, 1375 Magnolia Avenue, Corona, CA 92879

If costs for file review and copying documents exceed $100, please contact me before proceeding.  Electronic files on a CD would be preferred, if possible.  Please forward any documents to:

Rosann Park-Jones, P.G.
Roux Associates, Inc.
2000 Spring Road, Suite 420
Oak Brook, IL 60523

Thank you in advance for your assistance with this request.  Should you require any additional information, please do not hesitate to contact our office at 630-572-3000.  

Sincerely,
Roux Associates, Inc.

Rosann Park-Jones, P.G.
Project Geologist
rparkjones@rouxinc.com"
60,EPA-R3-2013-004214,"Under the Freedom of Information Act (?FOIA?), 5 U.S.C. § 552, I respectfully request copies of all permits issued under the Rivers and Harbors Act (33 U.S.C. Section 401, et seq.) or Clean Water Act (33 U.S.C. Section 1251 et seq.) for the Schuylkill River related to or connected with the Philadelphia Refinery located at 1735 Market Street, Philadelphia, Pennsylvania 19103, currently owned by Philadelphia Energy Solutions Refining and Marketing LLC.  To assist with your search, the permittee listed on the permits could be any of the following: Sunoco, Inc., Sunoco, Inc. (R&M), Atlantic Refining & Marketing Corp, Sun Company Inc (R&M), Gulf Refining Co. (R&M), and Chevron USA (R&M). 

To the extent it is more efficient and easier for your office, I request that copies of the documents be forwarded electronically to me at mbharmal@velaw.com, or copied onto a CD and delivered to me by mail.  Otherwise, please forward paper copies of the documents to me by mail.

If my request is too broad or does not adequately describe the Records, please contact me so that I may clarify my request.  If for any reason any portion of my request is denied, please inform me of the reasons for the denial in writing and provide the name, address, and email address of the person or body to whom an appeal should be directed."
61,EPA-R9-2015-002172,"Asbestos Only. Looking to obtain information pertaining to asbestos present aboard USS Tolovana (AO-64), decomissioned 1973-1975 at Mare Island Naval Complex, Vallejo, CA."
62,EPA-R4-2014-006844,"I am performing a Phase I ESA on the Spectra Metal Sales Property (formerly known as Onesource Coaters, LLC and Cooper Coil Coating Inc). The address of the site is 5110 140th Avenue North, Clearwater, FL 33760. In the Florida Department of Environmental Protection (FDEP) electronic database, I located a document from April 7, 2011 that was generated by the EPA.  I have attached this document to this request.  The letter outlines the EPA's plans to issue a Consent Order to the site.  However, I have found no additional information regarding this third Consent Order being issued.  What is the current status of this third Consent Order? Did the EPA drop its pursuit of responsible party?  Any information on this subject would be greatly appreciated.

http://iaspub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000850669"
63,EPA-R2-2013-004083,"Emails, reports and all correspondence related to the case of threats and acts of violence by Edward Guster in Region 2 against Norman Rost, John Wilks, Jannette Graves, Yolanda Guess and/or any employee, co-worker, supervisor, manager or Union Matters from calendar year 2009 through calendar year of February 28, 2013, in addition to emails sent to the union members on all dichotomy during official (core hours of duty) time for the above period.
At this time, and from the perspective of the Public Affairs Division's, Freedom of Information Act (FOIA) program, use of the government lotus notes system for Union related issues creates a strain in the records management process as communications back and forth, albeit, Union related correspondence, is not considered conducting Agency business.  We must be very careful what we put in writing as it could be part of a FOIA request and/or a Congressional initiated FOIA audit (as evidenced by history).  Unfortunately, there are no exemptions in FOIA which allows for the protection of \holiday party dichotomy\"" in the event an official submittal should arise.  "
72,EPA-R3-2013-009409,"2900 Connecticut Ave NW
Washington, DC 20008
ERNS Site ID 2001565315
Incident Date-3/30/2001
*ERNS-Emergency Response Notification System

We are seeking the remediation, closure and no further action documentation concerning this incident.
I am attaching a screenshot of the indicent report."
73,EPA-HQ-2013-001596,Requesting a non-redacted copy of the study titled ?Microbiological Test Report: (Nac 7): Test Report No. MB-1490-82? and assigned MRID Number 00120322 and a non-redacted copy of the data evaluation record for MRID Number 00120322.
74,DOC-NIST-2012-000518,The description of this request is under Agency review.
75,EPA-R5-2014-009162,"I would like to request CERCLIS documents for #ILD980823991, Kerr-McGee Kress Creek. I only need reports or information that was processed after May 2010. 

The documents are needed to complete a preliminary environmental site assessment for a proposed road improvement project for the Illinois Department of Transportation (IDOT). The only documents needed are the releasable documents that is in the Superfund Enterprise Management System (SEMS) related to any remediation activities including sampling results and if possible maps. If the site is closed than only the closure report would be necessary, if not than the most recent releasable quarterly or semi-annual or annual report would be necessary. No legal documents or permits are required."
